signal_date,trade_date,vt_symbol,signal,target_position,confidence,reason
2025-12-26,2025-12-29,000559.SZSE,buy,0.7000,0.8300,"Price is in a strong short-term uptrend (close 13.63 > MA5 12.54 > MA20 12.17) with solid momentum (5d +17.1%, 20d +8.17%). Volume expanded sharply (volume_ratio 1.95), supporting the breakout continuation despite a small upper-shadow style pullback from intraday high. Since current position is 0, initiating a sizable but not full position balances trend-following with risk of near-term volatility after a rapid rally."
2025-12-29,2025-12-30,000559.SZSE,buy,0.8000,0.7800,"Price is in a strong short-term uptrend (close 14.26 > MA5 13.06 > MA20 12.25), with solid momentum (5d +21.26%, 20d +9.36%) and elevated volume (volume ratio 1.41) supporting continuation. No clear bearish reversal signal appears in the latest bar despite intraday volatility. Current holding is recent (1 day) with positive unrealized return, so modestly increasing exposure is reasonable while avoiding full allocation after a sharp run-up."
2025-12-30,2025-12-31,000559.SZSE,buy,0.9000,0.7800,"Price trend is very strong: close is well above MA5 and MA20, with strong 5d/20d returns (+28.4%/+20.8%) and no sign of breakdown. Recent bars show momentum continuation rather than bearish reversal, and current volume is only slightly above 5-day average (not extreme blow-off). Position is already high and in profit, so increase only moderately from ~0.82 to 0.9 instead of full allocation."
2025-12-31,2026-01-05,000559.SZSE,buy,1.0000,0.7400,"Price is in a strong short-term uptrend: close (17.20) is well above MA5 (14.84) and MA20 (12.60), with very strong 5d/20d returns and elevated volume (volume ratio 1.64) confirming momentum. No sign here of close dropping below key averages or trend stalling; holding period is short (3 days) and unrealized gain is positive. Given healthy trend continuation, a modest increase from 0.9 to full position is justified."
2026-01-05,2026-01-06,000559.SZSE,hold,1.0000,0.8200,"Price remains in a strong uptrend (close 17.02 > MA5 15.56 > MA20 12.81), with robust short- and medium-term momentum (5d +24.87%, 20d +37.37%). Current bar is only a mild pullback from prior close after a sharp rally, not a clear high-volume bearish reversal (volume ratio 1.14 is elevated but not extreme). Position is already near full, unrealized gain is positive, and holding period is short (4 days), so no clear risk-control trigger for reduction yet."
2026-01-06,2026-01-07,000559.SZSE,hold,1.0000,0.8400,"Price remains in a strong uptrend (close well above MA5 and MA20), momentum is strong (5d +26.86%, 20d +44.60%), and volume is supportive without a clear high-volume bearish reversal. Current unrealized gain is solid and holding period is short (5 days), so no clear risk-control trigger for reduction yet."
2026-01-07,2026-01-08,000559.SZSE,hold,1.0000,0.7400,"Price remains above both MA5 (17.82 > 17.164) and MA20 (17.82 > 13.3605), with strong 5D/20D momentum (+13.58% / +45.71%). Current bar is a mild pullback after a sharp run, but not a clear high-volume bearish reversal (volume ratio 0.96, not expanded). Unrealized gain is solid and holding period is short (6 days), so trend structure is still healthy and does not yet justify risk-off reduction."
2026-01-08,2026-01-09,000559.SZSE,hold,1.0000,0.8400,"Price remains in a strong uptrend: close (18.51) is above MA5 (17.728) and far above MA20 (13.6745), with strong 20-day momentum (+53.23%) and still positive 5-day return (+7.62%). Recent pullback on 01-07 was followed by a rebound to new recovery highs on 01-08, and volume ratio (0.85) does not indicate a high-volume bearish reversal. Current unrealized gain is solid and holding period is short (7 days), so no clear risk signal requiring reduction. Maintain full position."
2026-01-09,2026-01-12,000559.SZSE,hold,1.0000,0.8200,"Price remains in a strong uptrend: close (19.85) is well above MA5 (18.258) and MA20 (14.063), with strong 5d/20d returns and no clear high-volume bearish reversal signal (volume ratio ~0.96, latest bar is bullish). Current position is already effectively full, unrealized gain is healthy, and holding period is still short, so keep maximum exposure."
2026-01-12,2026-01-13,000559.SZSE,hold,1.0000,0.8200,"Price remains in a strong uptrend (close well above MA5 and MA20), with solid momentum (5d +13.05%, 20d +73.89%). No clear high-volume bearish reversal is present; latest bar is bullish and volume is near recent average (volume_ratio 0.98). Current unrealized gain is strong and holding period is not extended (9 days), so trend-following favors maintaining full exposure rather than reducing now."
