signal_date,trade_date,vt_symbol,signal,target_position,confidence,reason
2025-11-17,2025-11-18,603081.SSE,buy,0.3000,0.5800,"Price closed slightly above MA5 (13.25 > 13.132), indicating short-term stabilization, but remains just below MA20 (13.2675), so medium-term trend is not fully confirmed. Recent 5-day return is mildly positive while 20-day return is slightly negative, and current volume is below recent average (volume_ratio 0.6758), suggesting limited momentum. With no existing position, a cautious starter allocation is appropriate rather than full exposure."
2025-11-18,2025-11-19,603081.SSE,sell,0.1000,0.7700,"Close (12.98) is below both MA5 (13.094) and MA20 (13.2505), indicating short-term and medium-term weakness. Recent 20-day return is slightly negative and current unrealized return is a loss (~-1.96%), so risk should be reduced rather than adding. Today also shows a bearish day from open to close with no strong volume support (volume ratio 0.85), so keeping only a small residual position is preferred."
2025-11-19,2025-11-20,603081.SSE,sell,0.0000,0.8700,"Close 12.60 is below both MA5 13.02 and MA20 13.2285, which favors strong reduction/full exit. Recent momentum is weak (5d -3.74%, 20d -3.23%), today's drop extended with above-average volume (volume ratio 1.2204), and the position is already losing versus avg cost 13.24. Current exposure is small (~0.1), so exiting fully is the cleaner risk-control action."
2025-11-20,2025-11-21,603081.SSE,hold,0.0000,0.9400,"Price is below both MA5 (12.894) and MA20 (13.2005), with negative 5-day and 20-day returns (-5.46%, -6.95%), indicating a weak downtrend. Recent bars show continued decline (13.25 -> 12.98 -> 12.60 -> 12.46) without reversal confirmation, and volume is not showing strong accumulation (volume_ratio 0.8073). Since current position is already 0, maintain no exposure rather than initiate a long."
2025-11-21,2025-11-24,603081.SSE,hold,0.0000,0.9500,"Price is in a clear short-term and medium-term downtrend: close 11.92 is below MA5 12.642 and below MA20 13.127, with weak momentum (5-day return -10.04%, 20-day return -11.04%). Recent bars show continued breakdown from 11/18 to 11/21 with no evidence of stabilization, and volume is only modestly above average rather than signaling a strong reversal recovery. Since there is currently no position, the prudent action is to stay out and wait for trend improvement."
2025-11-24,2025-11-25,603081.SSE,hold,0.0000,0.9200,"Price remains in a clear downtrend: close (12.18) is below MA5 (12.43) and well below MA20 (13.07), with negative 5-day and 20-day returns. The latest rebound appears weak and on below-average volume (volume_ratio 0.76), so there is no strong long entry confirmation. Staying flat is preferred."
2025-11-25,2025-11-26,603081.SSE,hold,0.0000,0.7800,"Price is only marginally above MA5 (12.31 vs 12.294) but still clearly below MA20 (13.0045), with negative 5-day and 20-day returns and no strong volume confirmation (volume_ratio 0.92). This indicates a weak rebound within a broader downtrend, so staying flat is preferred."
2025-11-26,2025-11-27,603081.SSE,hold,0.0000,0.8900,"Price remains below both MA5 (12.1920) and MA20 (12.9325), indicating weak short- and medium-term trend. Recent returns are negative over 5d (-2.97%) and 20d (-6.71%), and today’s rebound attempt faded with close near the lower part of the recent range. Volume ratio is only 0.687, so there is no strong accumulation signal. With no current position and no confirmation of trend recovery, staying in cash is preferred."
2025-11-27,2025-11-28,603081.SSE,hold,0.0000,0.7800,"Price is only marginally above MA5 but remains clearly below MA20, with negative 20-day return and weak volume (volume_ratio 0.68). This looks like a low-conviction rebound within a broader downtrend, so initiating a long position is not justified yet."
2025-11-28,2025-12-01,603081.SSE,hold,0.0000,0.7200,"Price has recovered above MA5, but it remains clearly below MA20 and the 20-day return is still negative, indicating the medium-term trend is weak. Recent rebound lacks volume confirmation (volume_ratio 0.75), so risk/reward for a new long entry is not strong yet. Stay in cash and wait for stronger trend confirmation."
2025-12-01,2025-12-02,603081.SSE,buy,0.4000,0.7200,"Price closed above both MA5 and MA20, with a strong high-volume breakout day (volume_ratio 2.38) after a short consolidation, indicating improving near-term momentum. However, 20-day return is still negative and the move is very recent, so a moderate initial position is preferred over full allocation."
2025-12-02,2025-12-03,603081.SSE,buy,0.5000,0.6300,"Close is above both MA5 and MA20, with strong 5-day momentum (+7.11%) and still-elevated volume (volume_ratio 1.31), indicating a short-term recovery trend is holding after the recent breakout. No clear high-volume bearish reversal is present. Since 20-day return remains negative and trend reversal is still relatively early, increase exposure only moderately from 0.4 to 0.5."
2025-12-03,2025-12-04,603081.SSE,hold,0.5000,0.6600,"Close is above both MA5 (12.658) and MA20 (12.785), and recent 5-day momentum is positive, indicating a short-term recovery trend. Volume is not showing a high-volume bearish reversal, so there is no clear risk-off trigger. However, 20-day return is still negative and the rebound is relatively recent, so keeping the existing 0.5 exposure is more prudent than adding aggressively."
2025-12-04,2025-12-05,603081.SSE,hold,0.5000,0.6700,"Close (13.00) is above MA5 (12.83) and MA20 (12.7615), indicating short-term trend has recovered and remains constructive. Recent rebound is intact (5-day return +5.95%) without clear high-volume bearish reversal; today’s slight pullback came on below-average volume (volume_ratio 0.8587), so selling pressure is not strong. Current unrealized gain is small but positive and holding period is short (3 days), so no urgency to de-risk. Keep medium exposure unchanged at 0.5 while monitoring for follow-through above recent highs or breakdown below MA5/MA20."
2025-12-05,2025-12-08,603081.SSE,hold,0.5000,0.6300,"Price remains slightly above MA5 and clearly above MA20, so the short-term rebound structure is still intact. Recent pullback is mild and on below-average volume (no high-volume bearish reversal), while unrealized PnL is still positive and holding period is short. Momentum is not strong enough to justify adding, but not weak enough to justify cutting; keep current mid-level exposure."
2025-12-08,2025-12-09,603081.SSE,sell,0.4000,0.6300,"Close (12.91) is below MA5 (12.978), indicating short-term momentum has weakened after the recent rebound. Although price remains above MA20 (12.7195), so the medium-term structure is not fully broken, 5-day/20-day returns are slightly negative and volume is subdued (volume_ratio 0.8169), suggesting limited upside follow-through. Reduce risk modestly from 0.5 to 0.4 rather than exiting."
2025-12-09,2025-12-10,603081.SSE,hold,0.4000,0.6100,"Close (12.93) is slightly below MA5 (12.974), which weakens short-term momentum, but it remains above MA20 (12.7075), so no strong exit condition is triggered. Recent 5d/20d returns are mildly negative and volume ratio is low (0.70), indicating a weak, range-bound market rather than a strong trend. Keep a cautious mid-level position unchanged at 0.4."
2025-12-10,2025-12-11,603081.SSE,hold,0.4000,0.6300,"Close (13.03) is above both MA5 (12.972) and MA20 (12.7105), so the short-term structure is still intact. Volume is near its 5-day average (volume_ratio 1.02) and recent returns are flat to slightly weak (5d +0.23%, 20d -0.46%), indicating consolidation rather than a strong breakout. With a small unrealized gain and no clear high-volume bearish reversal, maintaining the current 0.4 exposure is reasonable."
2025-12-11,2025-12-12,603081.SSE,sell,0.3000,0.7500,"Close (12.84) fell below MA5 (12.94), indicating short-term weakness, while still above MA20 (12.698), so not a full exit yet. Recent 5d and 20d returns are both negative, and current unrealized P/L is slightly negative after 8 holding days, suggesting limited trend follow-through. Latest bar is a bearish day with somewhat elevated volume ratio (1.16) after a recent rebound, so reducing risk is prudent."
2025-12-12,2025-12-15,603081.SSE,hold,0.3000,0.6200,"Close (13.04) is above both MA5 (12.95) and MA20 (12.691), and today’s rebound came with higher volume, which supports holding risk. However, momentum is only moderate (5-day return +1.01%, 20-day return -1.58%) and no clear strong uptrend breakout is confirmed, so keeping the current 0.3 exposure is preferred over adding."
2025-12-15,2025-12-16,603081.SSE,hold,0.3000,0.6200,"Close (12.97) is marginally above MA5 (12.962) and clearly above MA20 (12.677), so there is no technical breakdown requiring reduction. Recent returns (5d/20d) are near flat and volume is below average (volume_ratio 0.8755), indicating weak momentum rather than a strong trend to add risk. Current unrealized gain is small and position is already moderate, so maintaining 0.3 is appropriate."
2025-12-16,2025-12-17,603081.SSE,buy,0.4000,0.6400,"Close (13.20) is above both MA5 (13.016) and MA20 (12.688), indicating a healthy short-to-medium uptrend. Recent momentum is positive (5d +1.3%, 20d +4.76%), and today’s strong up close with elevated volume (volume_ratio 1.49) supports continuation rather than a bearish reversal. Current holding is modest (~0.3) with small unrealized gain and no clear risk-trigger (not below MA5/MA20), so a measured increase in exposure is justified."
2025-12-17,2025-12-18,603081.SSE,buy,0.5000,0.7400,"Price is above both MA5 and MA20 (13.43 > 13.096 > 12.7295), with positive 5d/20d returns and recent breakout continuation (12/16-12/17 strong closes near highs). Volume is moderately supportive (volume_ratio 1.2956) without a clear high-volume bearish reversal. Current unrealized gain is positive and holding period is not excessive, so a modest increase from 0.4 to 0.5 is justified while avoiding over-aggressive sizing."
2025-12-18,2025-12-19,603081.SSE,sell,0.4000,0.6300,"Price is still above MA5 and MA20 (uptrend intact), but 12-18 shows a high-volume bearish reversal after a short rally (higher intraday high to 13.79, close near session low, volume ratio 1.33). With current unrealized profit and no breakdown yet, a partial de-risk is preferred rather than full exit."
